"Standard","표준"
"Minimal","최소"
"Optional","옵션사항"
"Required","필요"
"Hidden","숨겨짐"
"The fire checkout is disabled.","파이어 체크아웃 비활성화"
"Fire Checkout Section","파이어 체크아웃 부분"
"Fire Checkout","파이어 체크아웃"
"Default Shipping Method","기본 운송 방법"
"Default Payment Method","기본 결제 방법"
"Default Country","기본 국가"
"GeoIP","지오아이피"
"Enable Country Detection","국가 감지 활성화"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>다운로드</a> 그리고 and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' 폴더에 압축을 해제하십시오(해당 데이터베이스가 없을 시)"
"Enable City Detection","도시 감지 활성화"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>다운로드</a> 그리고 and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' 폴더 아래에 압축을 해제하십시오(해당 데이터베이스가 없을 시)"
"Show Shipping Address Form","배송 주소 양식 보이기"
"Show Subscribe to Newsletter Checkbox","뉴스레터 구독 체크박스 보이기"
"Address Form Fields","주소 양식 필드"
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","필드를 변경하기 전에 결제/배송 제공자가 해당 필드 정보를 필요로하지 않는 지 확인하십시오."
"Output Type","출력 종류"
"Create account for later use","다음 이용을 위해 계정 생성"
"Checkout Review","결제 사항 확인"
"Already registered? Login into your account","가입하셨습니까? 로그인하십시오."
"Show Comment Field","코멘트 필드 보이기"
"Guest checkout is allowed","손님으로 구매 허용"
"Registration is required","가입이 필요합니다."
"User is registered during checkout without prompting a password","가입 고객은 결제 중 비밀번호 요구 없음"
"Registration mode","가입 모드"
"Show Discount Coupon Field","할인 쿠폰 필드 보이기"
"Firecheckout on Mobile Devices","모바일 기기에서 파이어체크아웃"
"Enable Region Detection","지역 감지 활성화"
"GeoIp filename","지오아이피 파일이름"
"GeoIPRegion filename","지오아이피지역 파일이름"
"GeoCity filename","지오시티 파일이름"
"<a href='http://www.maxmind.com/app/region' title='Purchase Region database'>Purchase</a>, download and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://www.maxmind.com/app/region' title='Purchase Region database'>구입</a>, 다운로드하여 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' 폴더에 압축을 해제하십시오(데이터베이스 없을 시)."
