"Standard","标准"
"Minimal","最小"
"Optional","可选"
"Required","必填"
"Hidden","隐藏"
"The fire checkout is disabled.","快速结帐功能已禁用。"
"Fire Checkout Section","快速结帐区"
"Fire Checkout","快速结帐"
"Default Shipping Method","默认配送方式"
"Default Payment Method","默认支付方式"
"Default Country","默认国家"
"GeoIP","地理位置IP"
"Enable Country Detection","启用国家检测"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","如果您没有地理位置IP库，请<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='下载地理位置IP库'>下载</a>并解压至'MAGETO_ROOT/lib/MaxMind/GeoIP/data'目录"
"Enable City Detection","启用城市检测"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","如果您没有地理位置城市数据，请<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='下载地址位置城市数据库'>下载</a>并解压至'MAGETO_ROOT/lib/MaxMind/GeoIP/data'目录"
"Show Shipping Address Form","显示配送地址表单"
"Show Subscribe to Newsletter Checkbox","显示“订阅新闻邮件”复选框"
"Address Form Fields","地址表单字段"
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","在改变字段前，请确保您的支付/配送供应商不需用到他们"
"Output Type","输出类型"
"Create account for later use","为以后使用而创建账号"
"Checkout Review","结帐确认"
"Already registered? Login into your account","已经注册了？登录到您的账号"
"Show Comment Field","显示评论字段"
"Guest checkout is allowed","允许以游客身份结帐"
"Registration is required","需要注册"
"User is registered during checkout without prompting a password","结账时不提示密码帮用户注册"
"Registration mode","注册模式"
"Show Discount Coupon Field","显示优惠券字段"
"Firecheckout on Mobile Devices","在移动终端使用快速结帐"
"Enable Region Detection","开启区域检测"
"GeoIp filename","地理位置IP库文件名"
"GeoIPRegion filename","地理位置IP区域文件名"
"GeoCity filename","地理位置城市文件名"
"<a href='http://www.maxmind.com/app/region' title='Purchase Region database'>Purchase</a>, download and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","如果您没有区域数据，请<a href='http://www.maxmind.com/app/region' title='购买区域数据库'>购买</a>, 下载并解压至'MAGETO_ROOT/lib/MaxMind/GeoIP/data'目录"
