"Standard","Padrão"
"Minimal","Mínimo"
"Optional","Facultativo"
"Required","Exigido"
"Hidden","Oculto"
"The fire checkout is disabled.","O Fire Checkout está desactivado."
"Fire Checkout Section","Secção do Fire Checkout"
"Fire Checkout","Fire Checkout"
"Default Shipping Method","Modo de Envio Padrão"
"Default Payment Method","Método de Pagamento Padrão"
"Default Country","País Padrão"
"GeoIP","GeoIP"
"Enable Country Detection","Activar Detecção de País"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Descarregar base de dados GeoIP'>Descarregue</a> o ficheiro e descomprima-o dentro da directoria 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' se o não possui"
"Enable City Detection","Activar Detecção de Cidade"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Descarregar base de dados GeoCity'>Descarregue</a> o ficheiro e descomprima-o dentro da directoria ""MAGETO_ROOT/lib/MaxMind/GeoIP/data"" se o não possui"
"Show Shipping Address Form","Mostrar Formulário de Endereço de Envio"
"Show Subscribe to Newsletter Checkbox","Mostrar Caixa de Selecção ""Subescrever Boletim Informativo"""
"Address Form Fields","Campos do Formulário de Endereço"
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","Antes de alterar certos campos, certifique-se de que o seu prestador de serviços de pagamento/remessa não necessita deles"
"Output Type","Tipo de Saída"
"Create account for later use","Criar conta para uso posterior"
"Checkout Review","Conferir Checkout"
"Already registered? Login into your account","Já está registado/a? Autentique-se na sua conta"
"Show Comment Field","Mostar Campo de Comentários"
"Guest checkout is allowed","Visitantes não registados podem fazer checkout"
"Registration is required","É necessário o registo"
"User is registered during checkout without prompting a password","Registo de utilizador durante o checkout sem introdução de senha"
"Registration mode","Modo de registo"
"Show Discount Coupon Field","Mostrar Campo de Cupão de Desconto"
"Firecheckout on Mobile Devices","Fire Checkout em Dispositivos de Comunicação Móvel"
"Enable Region Detection","Activar Detecção de Região"
"GeoIp filename","Nome do ficheiro GeoIP"
"GeoIPRegion filename","Nome do ficheiro GeoIPRegion"
"GeoCity filename","Nome do ficheiro GeoCity"
"<a href='http://www.maxmind.com/app/region' title='Purchase Region database'>Purchase</a>, download and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","<a href='http://www.maxmind.com/app/region' title='Comprar base de dados de regiões'>Compre</a> e descarregue o ficheiro, e descomprima-o dentro da directoria ""MAGETO_ROOT/lib/MaxMind/GeoIP/data"", se o não possui"
"GeoIP is enabled but not included. geoip_open function doesn't found","GeoIP está activado mas não incluído. A função geoip_open não foi encontrada"
"Country detection is enabled but %s not found","A detecção de país está activada mas não foi possível encontrar %s"
"Region detection is enabled but %s not found","A detecção de região está activada mas não foi possível encontrar %s"
"City detection is enabled but %s not found","A detecção de cidade está activada mas não foi possível encontrar %s"
"Redirect to firecheckout after adding an item to the shopping cart","Ir automaticamente para checkout expresso depois de juntar um item à cesta de compras"
"Ajax","Ajax"
"Reload order totals on region change","Recarregar totais da encomenda após alteração da região"
"Reload order totals on payment method change","Recarregar totais da encomenda após alteração do método de pagamento"
"Reload shipping methods on country change","Recarregar modos de envio após alteração do país"
"Reload payment methods on country change","Recarregar métodos de pagamento após alteração do país"
"Register customer during Paypal Express checkout if prompted","Registar cliente durante o checkout Expresso PayPal se solicitado"
"Ship to the same address","Enviar para o mesmo endereço"
"Validate taxvat number","Validar número de IVA"
"Use online VIES validation","Usar validação em linha no sistema VIES"
"Show Giftcard Field","Mostrar Campo de Cartão de Oferta"
